"","SurveyID","m1_alpha","m1_biomass","B20","m2_fish_alpha","m2_invert_alpha","FG_richness","biomass","CTI","urchin_abundance"
"1","M00010500272011",7,11.382283169776,11.1546784312,NA,NA,7,0.741595094856,16.9020733115151,NA
"2","M00010500272012",8,12.0134674346,10.2913303198,NA,NA,8,NA,16.1398762448181,NA
"3","M00010500272013",5,23.56378583582,21.8523429526,NA,NA,5,1.251635575,16.8514028349868,NA
"4","M00010500272014",4,14.8240534612,14.8240534612,NA,NA,4,0.4112710884,16.7312691386616,NA
"5","M00010500273011",5,6.6952301272,6.5474051272,NA,NA,5,NA,16.22425,NA
"6","M00010500273012",4,8.055993154,8.055993154,NA,NA,4,0.4112710884,16.1392912928324,NA
"7","M00010500273013",5,9.6104841,9.6104841,NA,NA,6,1.4558353396,16.2650306104224,NA
"8","M00010500273014",2,1.6955513076,1.6955513076,NA,NA,2,NA,17.2935,NA
"9","M00010500274011",4,7.29590918628,6.973066752,NA,NA,4,0.8976755696,17.0185443672581,NA
"10","M00010500274012",6,8.363325834828,8.25598679336,NA,NA,6,3.1607788556,16.1077375468997,NA
"11","M00010500274013",6,13.60696122494,13.2396436712,NA,NA,6,3.2320434636,17.0268016765998,NA
"12","M00010500274014",8,22.40797482364,21.74425559042,NA,NA,8,1.7953511388,17.1555776172641,NA
"13","M00010500275011",2,7.61548797824,7.4607908364,NA,NA,2,NA,17.2935,NA
"14","M00010500275012",2,19.4453588432,18.5171759922,NA,NA,2,NA,17.2935,NA
"15","M00010500275013",2,31.87686836392,29.9051176818,NA,NA,2,NA,17.1563488897635,NA
"16","M00010500275014",4,14.625654847238,13.0980803272,NA,NA,4,NA,17.0990216670201,NA
"17","M00010500276011",5,26.79357020262,26.5621957268,NA,NA,5,2.2500588472,17.4399752934692,NA
"18","M00010500276012",4,33.915034231038,33.8991806326,NA,NA,4,2.3766649986,17.2935,NA
"19","M00010500276013",3,7.14473441692,6.21655156592,NA,NA,3,2.15635262392,17.5588203050619,NA
"20","M00010500276014",6,6.40053307906,5.38680335306,NA,NA,6,0.705193094,17.2935,NA
"21","M00010501475011",7,13.93041817682,13.4809145334,NA,NA,7,NA,17.9917682968881,NA
"22","M00010501475012",8,18.7875208094,17.6720051378,NA,NA,8,NA,17.2831214773756,NA
"23","M00010501475013",8,8.70673365446,8.060693858,NA,NA,8,3.36766829,16.4261767118718,NA
"24","M00010501475014",9,12.51519255146,11.9195324246,NA,NA,9,1.1836522852,16.601,NA
"25","M00011000277011",8,4.768848846902,3.65308973962,NA,NA,8,NA,15.9164952949709,NA
"26","M00011000277012",9,20.816652436572,19.9162899108,NA,NA,9,NA,16.3227166283579,NA
"27","M00011000277013",5,5.881327214184,5.70497425822,NA,NA,5,NA,NA,NA
"28","M00011000277014",7,20.16316603888,19.60719012302,NA,NA,8,NA,16.8175767659721,NA
"29","M00011000278011",2,0.25038639776,0,NA,NA,2,NA,14.9875,NA
"30","M00011000278012",4,4.369081924436,4.074120136,NA,NA,4,NA,15.8595,NA
"31","M00011000278013",5,2.345509415916,1.87345227822,NA,NA,5,NA,14.9875,NA
"32","M00011000278014",5,1.11315845796,0.88312645602,NA,NA,5,NA,NA,NA
"33","M00011000564011",5,13.69518638158,11.8680885928,NA,NA,5,NA,14.9875,NA
"34","M00011000564012",8,17.011399635512,13.3081956474,NA,NA,8,NA,16.6490058641945,NA
"35","M00011000564013",5,29.60212244946,28.58445642,NA,NA,5,NA,14.9875,NA
