"SiteCode","SurveyDate","m1_alpha","m1_biomass","B20","m2_fish_alpha","m2_invert_alpha","FG_richness","biomass","CTI","urchin_abundance","year"
"RI1",2013-05-13,23,58991.88002722,39104.2648621333,1,2.83333333333333,9.66666666666667,8864.47197291167,1172093.2285217,2,2013
"RI1",2010-05-16,16.6,25438.990423724,20584.57882556,1,3.44444444444444,8.21428571428571,10668.9625705152,498661.195127852,1,2010
"RI1",2014-05-17,16.25,8895.624293907,5249.57833305,1.33333333333333,2.125,7.5,5016.232538009,182424.948353094,1.8,2014
"RI1",2011-05-20,12.6666666666667,14726.3161847,10927.3062943,NA,2.2,5.875,8203.67366015767,296392.612031802,2,2011
"RI1",2016-05-20,14.6666666666667,9927.42435171733,7698.1879275,1,2,6.33333333333333,7028.27669522067,201511.595606676,1,2016
"RI1",2009-07-24,12.3333333333333,9388.59587227933,7723.58612243333,1,2.16666666666667,6,2941.77131444267,186618.141068625,3.16666666666667,2009
"RI1",2008-07-25,16,47038.5359649493,44306.6031324,2,4,8.125,41544.1475425113,974205.837382047,5,2008
"RI1",2012-05-26,23,14556.4046025895,8135.02201625,1.625,4,11,6182.68300437,297447.674635074,1.4,2012
"RI1",2017-05-29,19,23443.6885087703,18835.996945925,1.4,3,9.08333333333333,12428.4249772035,475080.954974653,1.5,2017
"RI1",2010-04-05,19.5,56365.379215725,41835.8609592,NA,4.25,8.83333333333333,32598.374179305,1150606.2276255,2.5,2010
"RI10",2013-05-12,20.3333333333333,19454.2178726283,15946.0308069,1.66666666666667,4,8.44444444444444,12379.318688628,398330.991737782,6,2013
"RI10",2010-05-15,21.6666666666667,59835.5178643657,54529.4320407667,2,3.66666666666667,8.88888888888889,44470.8325556243,1175617.91541712,2.33333333333333,2010
"RI10",2014-05-17,19.6666666666667,73366.8953218693,64769.1026723667,1,2.66666666666667,8.88888888888889,55930.3028812513,1527000.45102169,10,2014
"RI10",2016-05-20,19.6666666666667,39876.0339911753,34472.8149021,1.75,3.83333333333333,8.44444444444444,31188.3850911787,811608.401284862,1,2016
"RI10",2015-05-22,22.5,52308.825214564,28993.8809808,2.33333333333333,2.25,10,21669.362735135,1110990.46600747,NA,2015
"RI10",2011-05-23,24.6666666666667,72104.2857170957,64670.1423631667,1.2,6.16666666666667,11.2222222222222,52236.5730912453,1476028.10549124,2.8,2011
"RI10",2012-05-25,26.5,39385.6879945015,32320.0965378,2,7.5,13.1666666666667,19171.523833105,786547.046883981,5,2012
"RI10",2017-05-26,22,39754.3418364083,34909.3402063333,1,4.33333333333333,9.88888888888889,29073.49323902,816045.654034199,3,2017
"RI11",2009-11-07,16,56894.772167486,53197.2292511,1,7.5,9.33333333333333,50518.0885952,1113353.3210519,38,2009
"RI12",2017-05-13,19.5,35597.142408771,29540.81961135,2.25,2.5,10,17284.257975878,726308.395716449,1,2017
"RI12",2009-02-15,15,24194.067544419,17036.5851021,NA,3.5,7.66666666666667,17221.54986907,470390.305883752,3,2009
"RI12",2015-05-23,23.25,158482.447971594,146919.19117065,1,4,10.0833333333333,133973.944462561,3175291.90262086,3.2,2015
"RI12",2012-05-25,24,44719.223446214,29330.0515853333,1.25,5.16666666666667,10.6666666666667,25724.5668035163,905834.176536328,6.83333333333333,2012
"RI13",2008-08-24,10,34644.57905134,5507.8890923,1,4.5,6.66666666666667,5653.54884158,704407.475604886,3,2008
"RI14",2017-05-13,13,41442.04524811,35562.4153405333,1,4.5,6.55555555555556,30055.5056008787,853502.261149299,2.75,2017
"RI14",2016-04-17,23,42436.573642813,26168.5734735667,1.25,3.5,9.66666666666667,19916.7938060083,867410.058312657,1.5,2016
"RI14",2014-05-19,19,19666.2586038992,15113.04695515,1.2,3.66666666666667,8.44444444444444,8488.53545362383,401935.09328401,5,2014
"RI14",2015-05-25,16.6666666666667,48481.084419729,34106.5465124333,1.16666666666667,4.5,8,36514.592324839,1013538.2072276,14.5,2015
"RI14",2008-07-27,14,21534.565697726,13799.6789313667,1,5.83333333333333,7.55555555555556,4811.9279678125,422967.625341822,4,2008
